Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
110809 SBT15,2011/2/1,2011/8/9,-1.189805702,F,wild,-1.412396249,-1.426286174,-1.506265424,-1.292534542,-0.322822733,-1.606237679,-1.36299441,-1.25059638,-0.198852537,-1.277032211,-1.554915664,-0.928958358,-0.773635185
140608 LL,2013/2/1,2014/6/8,-1.107719517,M,wild,-0.697937297,-0.633596156,-0.291548813,-1.113944758,-0.628241651,-1.266620054,-1.507378158,-1.706153304,-0.568840984,-1.04943888,-1.011574305,-0.704490286,-0.341153148
130613 Biko,2011/2/1,2013/6/13,-1.007424668,F,wild,-0.92734134,-1.121449599,-0.964653922,-1.112483303,-0.267942771,-0.707875231,-0.829424019,-1.008049239,-0.702975768,-1.040097363,-1.306959884,-0.25555414,-0.667396851
13B09 Guri,2010/2/1,2013/8/14,-0.891771342,F,wild,-0.89461803,-0.825806965,-0.86265753,-0.700937613,-0.434491525,-0.276117868,-0.354306564,-0.336074375,-0.309513734,-1.365352011,-1.510487752,-0.06389294,-0.452410616
140826 Drum,2004/2/1,2014/8/26,-0.196341064,F,wild,-0.19856594,-0.082534375,-0.148682787,-0.279161739,0.252223825,0.248960512,0.262197053,0.713069813,0.354453449,-0.523766224,0.205390263,0.319429461,0.540541372
140825 Kiriko,2001/2/1,2014/8/25,0.10002939,F,wild,0.063561414,-0.142582296,-0.075117445,-0.239117876,-0.257443995,-0.254854852,-0.00958412,-0.000370956,-0.047950904,-0.088961054,-0.095398711,-0.216703897,0.149048928
160806 Rich,2002/2/1,2016/8/6,0.19377474,F,wild,0.165480892,0.500706196,0.06988091,0.321788501,-0.063693869,0.367679021,0.593929955,0.238200002,0.819454035,0.153918396,-0.886695849,0.261585765,0.321372525
200829 Wacky,2002/2/1,2020/8/29,0.595531542,F,wild,0.764385653,0.320275123,0.438773784,0.329095775,-0.355273493,1.058136418,0.887693429,-0.087278948,1.051954328,-0.143311701,-0.424405412,-0.002595889,0.061214085
220602 Button,2018/2/1,2022/6/2,-0.812660691,F,wild,-0.363886833,-0.452877772,-0.468887488,-0.627280288,0.062768652,0.084172134,-0.098012921,0.066088097,-0.138491884,-0.060936503,0.202388377,-0.075979682,0.326391659
220822 Hatch,2007/2/1,2022/8/22,0.296986844,F,wild,-0.04687976,0.184089886,0.079831777,0.416198485,0.336214028,0.469268989,0.404082813,0.815314509,-0.034537426,-0.406572643,-0.028156465,0.726925347,0.480311765
220823 B1_Betty,2014/2/1,2022/8/23,-0.394924652,F,wild,-0.038017197,0.047330028,0.099022736,-0.152599748,0.104286536,-0.222369687,-0.156465857,-0.124200643,-0.278215617,0.292342698,-0.175248877,-0.103606522,0.343122106
220823 Linda,1996/2/1,2022/8/23,1.384968361,F,wild,1.219785061,1.023036915,1.148483869,1.040239712,1.264878427,1.584396077,1.327839042,1.783798993,0.377927036,0.493609934,0.520588288,0.981610275,1.759354386
220824 Crayon,2015/2/1,2022/8/24,-0.493533289,F,wild,-0.036312858,-0.265263933,-0.265250092,-0.310436874,0.086629505,0.000891986,-0.121494015,0.454617942,-0.315102683,-0.449034086,-0.416600508,0.078557952,0.217643758
180722 18B16,2017/2/1,2018/7/22,-1.095799411,F,wild,-1.29172904,-0.917746365,-0.764570407,-0.694214921,-0.420175013,-1.260123021,-1.258078884,-0.579757568,-0.716389247,-1.116527959,-0.734200043,-0.682906817,-0.614695945
